NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
v a m m a u t u m i n e n,v a m m a u t u m i s e n,no,_,_,_
t a r j o a j a,t a r j o a j a n,no,_,_,_
t y r n i,t y r n i n,no,_,_,_
a a t e,a a t t e e n,yes,quantitative,t,inverse
k a a p p a u s,k a a p p a u k s e n,no,_,_,_
t o i m i t u s,t o i m i t u k s e n,no,_,_,_
h ä l y,h ä l y n,no,_,_,_
h i n n o i t t e l u,h i n n o i t t e l u n,no,_,_,_
r e n t o u s,r e n t o u d e n,no,_,_,_
a g g r e s s i o,a g g r e s s i o n,no,_,_,_
h ä m ä h ä k k i,h ä m ä h ä k i n,yes,quantitative,k,direct
m a s e n n u s,m a s e n n u k s e n,no,_,_,_
s a l i,s a l i n,no,_,_,_
p a l l i,p a l l i n,no,_,_,_
k a d o t u s,k a d o t u k s e n,no,_,_,_
r o m a n t i i k k a,r o m a n t i i k a n,yes,quantitative,k,direct
n u k k u m i n e n,n u k k u m i s e n,no,_,_,_
s a i r a a l a,s a i r a a l a n,no,_,_,_
v a r m i s t a m i n e n,v a r m i s t a m i s e n,no,_,_,_
k a u n i s t a m i n e n,k a u n i s t a m i s e n,no,_,_,_
k i r j a i l i j a,k i r j a i l i j a n,no,_,_,_
k e l t u a i n e n,k e l t u a i s e n,no,_,_,_
l o p e t t a m i n e n,l o p e t t a m i s e n,no,_,_,_
t y ö t t ö m y y s,t y ö t t ö m y y d e n,no,_,_,_
m a i t o,m a i d o n,yes,qualitative,t,direct
n i u k k u u s,n i u k k u u d e n,no,_,_,_
p i n t a,p i n n a n,yes,qualitative,t,direct
k a s v a n n a i n e n,k a s v a n n a i s e n,no,_,_,_
t o i m i n t o,t o i m i n n o n,yes,qualitative,t,direct
p a i k k a,p a i k a n,yes,quantitative,k,direct
k o t o u t t a m i n e n,k o t o u t t a m i s e n,no,_,_,_
l a s k e l m a,l a s k e l m a n,no,_,_,_
h o h d e,h o h t e e n,yes,qualitative,t,inverse
r u o k a i l u,r u o k a i l u n,no,_,_,_
p a l a,p a l a n,no,_,_,_
k i r j a v u u s,k i r j a v u u d e n,no,_,_,_
m ä ä r i t t ä m i n e n,m ä ä r i t t ä m i s e n,no,_,_,_
j a z z,j a z z i n,no,_,_,_
r a u n i o,r a u n i o n,no,_,_,_
m i t t a a m i n e n,m i t t a a m i s e n,no,_,_,_
l ä t k ä,l ä t k ä n,no,_,_,_
m u k a a n t u l o,m u k a a n t u l o n,no,_,_,_
p u r j o,p u r j o n,no,_,_,_
v a n h e m p i,v a n h e m m a n,yes,qualitative,p,direct
k a n s a,k a n s a n,no,_,_,_
m a k s a,m a k s a n,no,_,_,_
t u h l a r i,t u h l a r i n,no,_,_,_
n u m e r o i n t i,n u m e r o i n n i n,yes,qualitative,t,direct
k o i l l i n e n,k o i l l i s e n,no,_,_,_
s i e r a i n,s i e r a i m e n,no,_,_,_
m u u r a h a i n e n,m u u r a h a i s e n,no,_,_,_
l u m i n o s i t e e t t i,l u m i n o s i t e e t i n,yes,quantitative,t,direct
k ä y t ä n t ö,k ä y t ä n n ö n,yes,qualitative,t,direct
l e g e n d a,l e g e n d a n,no,_,_,_
p a i n o s,p a i n o k s e n,no,_,_,_
h a a l a r i t,h a a l a r i t i n,no,_,_,_
s a n k a r i,s a n k a r i n,no,_,_,_
s ä v e l t ä j ä,s ä v e l t ä j ä n,no,_,_,_
m a a h a n t u o n t i,m a a h a n t u o n n i n,yes,qualitative,t,direct
e k s o o t t i s u u s,e k s o o t t i s u u d e n,no,_,_,_
i d i o o t t i m a i s u u s,i d i o o t t i m a i s u u d e n,no,_,_,_
l u o k i t u s,l u o k i t u k s e n,no,_,_,_
t i i v i s t y m i n e n,t i i v i s t y m i s e n,no,_,_,_
h ö r ä h d y s,h ö r ä h d y k s e n,no,_,_,_
k r i s t i n u s k o,k r i s t i n u s k o n,no,_,_,_
v a r u s t u s,v a r u s t u k s e n,no,_,_,_
i h o,i h o n,no,_,_,_
r a h o i t t a m i n e n,r a h o i t t a m i s e n,no,_,_,_
v e l i,v e l j e n,no,_,_,_
p a l k o,p a l o n,yes,qualitative,k,direct
h y ö k k ä y s,h y ö k k ä y k s e n,no,_,_,_
t ä y s j ä s e n,t ä y s j ä s e n e n,no,_,_,_
m a j u r i,m a j u r i n,no,_,_,_
r o c k,r o c k i n,no,_,_,_
v a t k a i n,v a t k a i m e n,no,_,_,_
i n t e r n e t,i n t e r n e t i n,no,_,_,_
k a t t i l a,k a t t i l a n,no,_,_,_
f l u n s s a,f l u n s s a n,no,_,_,_
k o h o a m i n e n,k o h o a m i s e n,no,_,_,_
k o k o u s,k o k o u k s e n,no,_,_,_
r a s i t e,r a s i t t e e n,yes,quantitative,t,inverse
p u l u,p u l u n,no,_,_,_
t a l l e n t a m i n e n,t a l l e n t a m i s e n,no,_,_,_
p u i s t o,p u i s t o n,no,_,_,_
t s a a r i,t s a a r i n,no,_,_,_
i i r i s,i i r i k s e n,no,_,_,_
n a a r m u,n a a r m u n,no,_,_,_
i l m a,i l m a n,no,_,_,_
m a k s u,m a k s u n,no,_,_,_
h e l l e,h e l t e e n,yes,qualitative,t,inverse
s k e t s i,s k e t s i n,no,_,_,_
v a s t u s t a m i n e n,v a s t u s t a m i s e n,no,_,_,_
s u o s i o,s u o s i o n,no,_,_,_
p a l l o n e n,p a l l o s e n,no,_,_,_
p u o l i s k o,p u o l i s k o n,no,_,_,_
l a j i,l a j i n,no,_,_,_
m i e l e k k y y s,m i e l e k k y y d e n,no,_,_,_
a g e n t t i,a g e n t i n,yes,quantitative,t,direct
k i l p a i l u,k i l p a i l u n,no,_,_,_
s i i d e r i,s i i d e r i n,no,_,_,_
h a a s t a t t e l u,h a a s t a t t e l u n,no,_,_,_
k ä y n n i s t ä m i n e n,k ä y n n i s t ä m i s e n,no,_,_,_
k a t k e a m i n e n,k a t k e a m i s e n,no,_,_,_
k ä s i t t e l y,k ä s i t t e l y n,no,_,_,_
o s a l l i s t u m i n e n,o s a l l i s t u m i s e n,no,_,_,_
s e u r a a m i n e n,s e u r a a m i s e n,no,_,_,_
s o v i t t a m i n e n,s o v i t t a m i s e n,no,_,_,_
a r v i o,a r v i o n,no,_,_,_
o p i s k e l u,o p i s k e l u n,no,_,_,_
y h t i ö,y h t i ö n,no,_,_,_
h o m e,h o m e e n,no,_,_,_
p ö y t ä,p ö y d ä n,yes,qualitative,t,direct
k i r s k u n t a,k i r s k u n n a n,yes,qualitative,t,direct
h a l l i t s i j a,h a l l i t s i j a n,no,_,_,_
t u n n u s,t u n n u k s e n,no,_,_,_
m i e l l y t t ä m i n e n,m i e l l y t t ä m i s e n,no,_,_,_
k e i t t o,k e i t o n,yes,quantitative,t,direct
h i n t a,h i n n a n,yes,qualitative,t,direct
k o h t u u s,k o h t u u d e n,no,_,_,_
r o h k e u s,r o h k e u d e n,no,_,_,_
p u b e r t e e t t i,p u b e r t e e t i n,yes,quantitative,t,direct
t y y d y t y s,t y y d y t y k s e n,no,_,_,_
a l e n e m i n e n,a l e n e m i s e n,no,_,_,_
o m a i n e n,o m a i s e n,no,_,_,_
t u h o u t u m i n e n,t u h o u t u m i s e n,no,_,_,_
t š e k k i l ä i n e n,t š e k k i l ä i s e n,no,_,_,_
k r y p t a,k r y p t a n,no,_,_,_
s a u n o m i n e n,s a u n o m i s e n,no,_,_,_
r e p p u,r e p u n,yes,quantitative,p,direct
r o s k a,r o s k a n,no,_,_,_
k a s v i l l i s u u s,k a s v i l l i s u u d e n,no,_,_,_
l i b e r a l i s m i,l i b e r a l i s m i n,no,_,_,_
a s e t e l m a,a s e t e l m a n,no,_,_,_
p u t o a m i n e n,p u t o a m i s e n,no,_,_,_
k a u p p a,k a u p a n,yes,quantitative,p,direct
p e r k e l e,p e r k e l e e n,no,_,_,_
m a i s t e r i,m a i s t e r i n,no,_,_,_
k i i h t y m i n e n,k i i h t y m i s e n,no,_,_,_
h e v o n e n,h e v o s e n,no,_,_,_
m o u k a r i,m o u k a r i n,no,_,_,_
b u g i,b u g i n,no,_,_,_
u s k o m u s,u s k o m u k s e n,no,_,_,_
h i d a s t a m i n e n,h i d a s t a m i s e n,no,_,_,_
p o t i l a s,p o t i l a a n,no,_,_,_
m a t a d o r i,m a t a d o r i n,no,_,_,_
n e i t i,n e i d i n,yes,qualitative,t,direct
v a p a h t a j a,v a p a h t a j a n,no,_,_,_
p a k a r a,p a k a r a n,no,_,_,_
h a l k a i s i j a,h a l k a i s i j a n,no,_,_,_
k u l j e s k e l u,k u l j e s k e l u n,no,_,_,_
l e i v o s,l e i v o k s e n,no,_,_,_
y h t ä l ö,y h t ä l ö n,no,_,_,_
t u n n u s t a m i n e n,t u n n u s t a m i s e n,no,_,_,_
i t s e m u r h a,i t s e m u r h a n,no,_,_,_
m a n n a,m a n n a n,no,_,_,_
t e u r a s t a m o,t e u r a s t a m o n,no,_,_,_
k y y n i s y y s,k y y n i s y y d e n,no,_,_,_
a r i s t u s,a r i s t u k s e n,no,_,_,_
k o n k i s t a d o r i,k o n k i s t a d o r i n,no,_,_,_
s a a t t a m i n e n,s a a t t a m i s e n,no,_,_,_
p i t o i s u u s,p i t o i s u u d e n,no,_,_,_
e t i o p i a l a i n e n,e t i o p i a l a i s e n,no,_,_,_
p u r o,p u r o n,no,_,_,_
k o i r a,k o i r a n,no,_,_,_
t a l v i,t a l v e n,no,_,_,_
k o l o,k o l o n,no,_,_,_
s a s s a n i d i,s a s s a n i d i n,no,_,_,_
t i l a s t o,t i l a s t o n,no,_,_,_
t a p p i o,t a p p i o n,no,_,_,_
r y h t i,r y h d i n,yes,qualitative,t,direct
h i k i,h i e n,yes,qualitative,k,direct
r u o h i k k o,r u o h i k o n,yes,quantitative,k,direct
t u p s u,t u p s u n,no,_,_,_
p l ö s ö,p l ö s ö n,no,_,_,_
s o i t t o,s o i t o n,yes,quantitative,t,direct
s a a r i,s a a r e n,no,_,_,_
t i l l i,t i l l i n,no,_,_,_
y l p e y s,y l p e y d e n,no,_,_,_
t e n o r i,t e n o r i n,no,_,_,_
k u l u t u s,k u l u t u k s e n,no,_,_,_
h u o m a a v a i s u u s,h u o m a a v a i s u u d e n,no,_,_,_
p o t e r o,p o t e r o n,no,_,_,_
i n s i n ö ö r i,i n s i n ö ö r i n,no,_,_,_
t a r k i s t a m i n e n,t a r k i s t a m i s e n,no,_,_,_
n o u s u,n o u s u n,no,_,_,_
h u u s s i,h u u s s i n,no,_,_,_
e l e,e l e e n,no,_,_,_
y l l ä p i t ä j ä,y l l ä p i t ä j ä n,no,_,_,_
a l l e k i r j o i t t a m i n e n,a l l e k i r j o i t t a m i s e n,no,_,_,_
d e m o k r a t i a,d e m o k r a t i a n,no,_,_,_
p y ö r i t y s,p y ö r i t y k s e n,no,_,_,_
p a l j e,p a l k e e n,yes,qualitative,k,inverse
d o p i n g,d o p i n g i n,no,_,_,_
e n s i k e r t a l a i n e n,e n s i k e r t a l a i s e n,no,_,_,_
s o r t o,s o r r o n,yes,qualitative,t,direct
p u r k a u t u m i n e n,p u r k a u t u m i s e n,no,_,_,_
m e d i a a n i,m e d i a a n i n,no,_,_,_
h u p p e l i,h u p p e l i n,no,_,_,_
k a t s e l m u s,k a t s e l m u k s e n,no,_,_,_
p r o g g i s,p r o g g i k s e n,no,_,_,_
k u s t a n t a m o,k u s t a n t a m o n,no,_,_,_
j ä ä m ä,j ä ä m ä n,no,_,_,_
a p u,a v u n,yes,qualitative,p,direct
l e v e y s,l e v e y d e n,no,_,_,_
b l o g g a a j a,b l o g g a a j a n,no,_,_,_
v i e r a i l i j a,v i e r a i l i j a n,no,_,_,_
k ä v i j ä,k ä v i j ä n,no,_,_,_
v ä l i n e,v ä l i n e e n,no,_,_,_
k u u d e s l u o k k a l a i n e n,k u u d e s l u o k k a l a i s e n,no,_,_,_
s i e p p a a m i n e n,s i e p p a a m i s e n,no,_,_,_
v ä l ä h d y s,v ä l ä h d y k s e n,no,_,_,_
k u o r r u t u s,k u o r r u t u k s e n,no,_,_,_
v a l v o n t a,v a l v o n n a n,yes,qualitative,t,direct
o s a l l i s u u s,o s a l l i s u u d e n,no,_,_,_
k u l u t t a j a,k u l u t t a j a n,no,_,_,_
h e i k e n n y s,h e i k e n n y k s e n,no,_,_,_
k u o l l u t,k u o l l e e n,no,_,_,_
v i i s u m i,v i i s u m i n,no,_,_,_
k u n t a,k u n n a n,yes,qualitative,t,direct
p o p u l a a t i o,p o p u l a a t i o n,no,_,_,_
h a p p i,h a p e n,yes,qualitative,p,direct
p o n t i k k a,p o n t i k a n,yes,quantitative,k,direct
o s u m a,o s u m a n,no,_,_,_
s o t k u,s o t k u n,no,_,_,_
r y n t ä i l y,r y n t ä i l y n,no,_,_,_
p e r u s t a j a,p e r u s t a j a n,no,_,_,_
m a i s t r a a t t i,m a i s t r a a t i n,yes,quantitative,t,direct
l ä h d e,l ä h t e e n,yes,qualitative,t,inverse
k a r s i u t u j a,k a r s i u t u j a n,no,_,_,_
e h d o k a s,e h d o k k a a n,yes,quantitative,k,inverse
a l l a s,a l t a a n,yes,qualitative,t,inverse
k a s a a r i,k a s a a r i n,no,_,_,_
a s f a l t t i,a s f a l t i n,yes,quantitative,t,direct
v o i,v o i n,no,_,_,_
l u o k i t t e l u,l u o k i t t e l u n,no,_,_,_
k e s k u s,k e s k u k s e n,no,_,_,_
k o r v a a j a,k o r v a a j a n,no,_,_,_
a r m o,a r m o n,no,_,_,_
s o r m i,s o r m e n,no,_,_,_
m e r i,m e r e n,no,_,_,_
s o i t i n,s o i t t i m e n,yes,quantitative,t,inverse
v o l t t i,v o l t i n,yes,quantitative,t,direct
p o m m i t t a m i n e n,p o m m i t t a m i s e n,no,_,_,_
v y ö r y,v y ö r y n,no,_,_,_
ä l y k k y y s,ä l y k k y y d e n,no,_,_,_
i t k e m i n e n,i t k e m i s e n,no,_,_,_
r o p i n a,r o p i n a n,no,_,_,_
v ä l s k ä r i,v ä l s k ä r i n,no,_,_,_
l o u k k u,l o u k u n,yes,quantitative,k,direct
a a v i k k o,a a v i k o n,yes,quantitative,k,direct
k e l a a t t i,k e l a a t i n,yes,quantitative,t,direct
g r a n i i t t i,g r a n i i t i n,yes,quantitative,t,direct
v a l l o i t u s,v a l l o i t u k s e n,no,_,_,_
r u n e b e r g i n t o r t t u,r u n e b e r g i n t o r t u n,yes,quantitative,t,direct
p i p a r k a k k u,p i p a r k a k u n,yes,quantitative,k,direct
m a a l a u s,m a a l a u k s e n,no,_,_,_
h e d e l m ä,h e d e l m ä n,no,_,_,_
s i r u,s i r u n,no,_,_,_
m u o v a u t u v u u s,m u o v a u t u v u u d e n,no,_,_,_
k i i n a,k i i n a n,no,_,_,_
s i i r t o,s i i r r o n,yes,qualitative,t,direct
k o l m a s o s a,k o l m a s o s a n,no,_,_,_
k e i n u,k e i n u n,no,_,_,_
l a a j e n t a m i n e n,l a a j e n t a m i s e n,no,_,_,_
k a n d i d a a t t i,k a n d i d a a t i n,yes,quantitative,t,direct
k i e l t o,k i e l l o n,yes,qualitative,t,direct
p a i n o,p a i n o n,no,_,_,_
r i e n t o,r i e n n o n,yes,qualitative,t,direct
a l b a n i a l a i n e n,a l b a n i a l a i s e n,no,_,_,_
e d i s t y m i n e n,e d i s t y m i s e n,no,_,_,_
l e i m a,l e i m a n,no,_,_,_
i n t o,i n n o n,yes,qualitative,t,direct
s i n k k u,s i n k u n,yes,quantitative,k,direct
s u k e l t a j a,s u k e l t a j a n,no,_,_,_
m a k s a j a,m a k s a j a n,no,_,_,_
v a a t t u r i,v a a t t u r i n,no,_,_,_
u l o s t e,u l o s t e e n,no,_,_,_
e d i s t y s,e d i s t y k s e n,no,_,_,_
k r e i k k a l a i n e n,k r e i k k a l a i s e n,no,_,_,_
k u n n o l l i s u u s,k u n n o l l i s u u d e n,no,_,_,_
k e r ä i l y,k e r ä i l y n,no,_,_,_
e m ä t i n,e m ä t t i m e n,yes,quantitative,t,inverse
p a i k k o,p a i k o n,yes,quantitative,k,direct
m a r k k i n a,m a r k k i n a n,no,_,_,_
j u o r u i l u,j u o r u i l u n,no,_,_,_
k i s a i l i j a,k i s a i l i j a n,no,_,_,_
v i i t t a u s,v i i t t a u k s e n,no,_,_,_
a l a i n e n,a l a i s e n,no,_,_,_
r o s k i s,r o s k i k s e n,no,_,_,_
k u o n o,k u o n o n,no,_,_,_
t ö p s e l i,t ö p s e l i n,no,_,_,_
v u o t o,v u o d o n,yes,qualitative,t,direct
i n d i k a a t t o r i,i n d i k a a t t o r i n,no,_,_,_
p a h e n e m i n e n,p a h e n e m i s e n,no,_,_,_
s i d e,s i t e e n,yes,qualitative,t,inverse
l a i l l i s u u s,l a i l l i s u u d e n,no,_,_,_
a a k k o s t o,a a k k o s t o n,no,_,_,_
m e k a a n i k k o,m e k a a n i k o n,yes,quantitative,k,direct
a r m e n i a l a i n e n,a r m e n i a l a i s e n,no,_,_,_
k e s k i t t y m i n e n,k e s k i t t y m i s e n,no,_,_,_
u u m e n,u u m e n e n,no,_,_,_
l a k k o,l a k o n,yes,quantitative,k,direct
t u t k i n t o,t u t k i n n o n,yes,qualitative,t,direct
h e r m o,h e r m o n,no,_,_,_
k a i s t a,k a i s t a n,no,_,_,_
l u k i j a,l u k i j a n,no,_,_,_
a g o r a,a g o r a n,no,_,_,_
k o k o e l m a,k o k o e l m a n,no,_,_,_
r e s u r s o i n t i,r e s u r s o i n n i n,yes,qualitative,t,direct
y l l ä r i,y l l ä r i n,no,_,_,_
h e l p o t u s,h e l p o t u k s e n,no,_,_,_
k a t k a i s i j a,k a t k a i s i j a n,no,_,_,_
k e s k i v i i k k o,k e s k i v i i k o n,yes,quantitative,k,direct
v ä ä r y y s,v ä ä r y y d e n,no,_,_,_
u n o h d u s,u n o h d u k s e n,no,_,_,_
h u r r a a,h u r r a a n,no,_,_,_
k l a r i n e t t i,k l a r i n e t i n,yes,quantitative,t,direct
l e v y,l e v y n,no,_,_,_
p a k a n a,p a k a n a n,no,_,_,_
e n k e f a l i i t t i,e n k e f a l i i t i n,yes,quantitative,t,direct
i m m u n i t e e t t i,i m m u n i t e e t i n,yes,quantitative,t,direct
s a l i b a n d y,s a l i b a n d y n,no,_,_,_
l i e s i,l i e d e n,no,_,_,_
j u h l a,j u h l a n,no,_,_,_
i n t e n d e n t t i,i n t e n d e n t i n,yes,quantitative,t,direct
k o k o n a i s u u s,k o k o n a i s u u d e n,no,_,_,_
k o h t e l u,k o h t e l u n,no,_,_,_
k ä s i k i r j o i t t a j a,k ä s i k i r j o i t t a j a n,no,_,_,_
a i n e s,a i n e k s e n,no,_,_,_
o t s a,o t s a n,no,_,_,_
u h k a i l u,u h k a i l u n,no,_,_,_
k a a p p i,k a a p i n,yes,quantitative,p,direct
k u l u,k u l u n,no,_,_,_
s a n o m a,s a n o m a n,no,_,_,_
r ä p p ä n ä,r ä p p ä n ä n,no,_,_,_
l ö y t ä m i n e n,l ö y t ä m i s e n,no,_,_,_
s i i t e p ö l y,s i i t e p ö l y n,no,_,_,_
h o i t a j a,h o i t a j a n,no,_,_,_
k o i p i,k o i v e n,yes,qualitative,p,direct
k o m m e r v e n k k i,k o m m e r v e n k i n,yes,quantitative,k,direct
p e t o,p e d o n,yes,qualitative,t,direct
k i p i n ö i n t i,k i p i n ö i n n i n,yes,qualitative,t,direct
m a a l a r i,m a a l a r i n,no,_,_,_
k a s v a i n,k a s v a i m e n,no,_,_,_
v ä h e m m i s t ö,v ä h e m m i s t ö n,no,_,_,_
a s u n t o,a s u n n o n,yes,qualitative,t,direct
p i d e n n y s,p i d e n n y k s e n,no,_,_,_
l y h e n n y s,l y h e n n y k s e n,no,_,_,_
s u u n n i t t e l e m i n e n,s u u n n i t t e l e m i s e n,no,_,_,_
v a n k i,v a n g i n,yes,qualitative,k,direct
r o m a n i,r o m a n i n,no,_,_,_
p u i k k o,p u i k o n,yes,quantitative,k,direct
p ä ä t y,p ä ä d y n,yes,qualitative,t,direct
p a n k k i,p a n k i n,yes,quantitative,k,direct
k e u l a,k e u l a n,no,_,_,_
p ä t e v y y s,p ä t e v y y d e n,no,_,_,_
v a l v o j a,v a l v o j a n,no,_,_,_
b r o s y y r i,b r o s y y r i n,no,_,_,_
e r i k o i s u u s,e r i k o i s u u d e n,no,_,_,_
d i a g o n a a l i,d i a g o n a a l i n,no,_,_,_
m ä ä r ä y s,m ä ä r ä y k s e n,no,_,_,_
k a l s e u s,k a l s e u d e n,no,_,_,_
t u t k i m u s,t u t k i m u k s e n,no,_,_,_
y k s i n k e r t a i s u u s,y k s i n k e r t a i s u u d e n,no,_,_,_
e s i m e r k k i,e s i m e r k i n,yes,quantitative,k,direct
j o u l u,j o u l u n,no,_,_,_
r a p o r t t i,r a p o r t i n,yes,quantitative,t,direct
n e l i ö,n e l i ö n,no,_,_,_
v a a k u n a,v a a k u n a n,no,_,_,_
l u o k i t t e l i j a,l u o k i t t e l i j a n,no,_,_,_
p a p a t u s,p a p a t u k s e n,no,_,_,_
p e l a a j a,p e l a a j a n,no,_,_,_
m a t k u s t a j a,m a t k u s t a j a n,no,_,_,_
i h a n u u s,i h a n u u d e n,no,_,_,_
k a r t a n o,k a r t a n o n,no,_,_,_
y k s i t y i s y y s,y k s i t y i s y y d e n,no,_,_,_
n a a m a,n a a m a n,no,_,_,_
a r v a i l u,a r v a i l u n,no,_,_,_
h u i p e n n u s,h u i p e n n u k s e n,no,_,_,_
s t o p,s t o p i n,no,_,_,_
p r o v i n s s i,p r o v i n s s i n,no,_,_,_
r i i t a,r i i d a n,yes,qualitative,t,direct
k o i v u,k o i v u n,no,_,_,_
b a r i t o n i,b a r i t o n i n,no,_,_,_
k i r k k o,k i r k o n,yes,quantitative,k,direct
v e r t o,v e r r o n,yes,qualitative,t,direct
j o u t u m i n e n,j o u t u m i s e n,no,_,_,_
k a j o,k a j o n,no,_,_,_
h a a s t a t e l t a v a,h a a s t a t e l t a v a n,no,_,_,_
k o u k k u,k o u k u n,yes,quantitative,k,direct
t a j u,t a j u n,no,_,_,_
s o p e u t u s,s o p e u t u k s e n,no,_,_,_
o s a p u o l i,o s a p u o l e n,no,_,_,_
p i r u,p i r u n,no,_,_,_
r ö y k k i ö,r ö y k k i ö n,no,_,_,_
t u r k u l a i n e n,t u r k u l a i s e n,no,_,_,_
t y ö n t e k i j ä,t y ö n t e k i j ä n,no,_,_,_
v e n ä l ä i n e n,v e n ä l ä i s e n,no,_,_,_
k o n f l i k t i,k o n f l i k t i n,no,_,_,_
p a i n o t u s,p a i n o t u k s e n,no,_,_,_
s i j o i t t a j a,s i j o i t t a j a n,no,_,_,_
j o d l a u s,j o d l a u k s e n,no,_,_,_
p e r u k k a,p e r u k a n,yes,quantitative,k,direct
j ä y n ä,j ä y n ä n,no,_,_,_
p a i s t i,p a i s t i n,no,_,_,_
t e r v e h d y s,t e r v e h d y k s e n,no,_,_,_
p o l v i,p o l v e n,no,_,_,_
e l ä m y s,e l ä m y k s e n,no,_,_,_
v a r o a i k a,v a r o a j a n,no,_,_,_
m u s t a,m u s t a n,no,_,_,_
w o r k s h o p,w o r k s h o p i n,no,_,_,_
p i n o,p i n o n,no,_,_,_
t o i s s a y ö,t o i s s a y ö n,no,_,_,_
i s o v a n h e m p i,i s o v a n h e m m a n,yes,qualitative,p,direct
s i h t e e r i,s i h t e e r i n,no,_,_,_
h a r j o i t t a j a,h a r j o i t t a j a n,no,_,_,_
k i r j o,k i r j o n,no,_,_,_
l a p i n k y l ä,l a p i n k y l ä n,no,_,_,_
h u v i l a,h u v i l a n,no,_,_,_
k o r t t i,k o r t i n,yes,quantitative,t,direct
e l o,e l o n,no,_,_,_
s a a n t o,s a a n n o n,yes,qualitative,t,direct
l u o s t a r i,l u o s t a r i n,no,_,_,_
e n n ä t y s,e n n ä t y k s e n,no,_,_,_
k o k e m a t t o m u u s,k o k e m a t t o m u u d e n,no,_,_,_
m ä ä r ä ä m i n e n,m ä ä r ä ä m i s e n,no,_,_,_
k u i s k a i l u,k u i s k a i l u n,no,_,_,_
v i e r u s t a,v i e r u s t a n,no,_,_,_
m u k a u t u s,m u k a u t u k s e n,no,_,_,_
a s s i s t e n t t i,a s s i s t e n t i n,yes,quantitative,t,direct
n u u s k a,n u u s k a n,no,_,_,_
p a n e l i s t i,p a n e l i s t i n,no,_,_,_
n a u t a,n a u d a n,yes,qualitative,t,direct
r a k e n n u t t a j a,r a k e n n u t t a j a n,no,_,_,_
k o l a r i,k o l a r i n,no,_,_,_
j a k s a m i n e n,j a k s a m i s e n,no,_,_,_
l u e t t e l o i n t i,l u e t t e l o i n n i n,yes,qualitative,t,direct
f i l o s o f i a,f i l o s o f i a n,no,_,_,_
k i r k u m i n e n,k i r k u m i s e n,no,_,_,_
n i s ä k ä s,n i s ä k k ä ä n,yes,quantitative,k,inverse
f y s i i k k a,f y s i i k a n,yes,quantitative,k,direct
k u p p i,k u p i n,yes,quantitative,p,direct
p o p p i,p o p i n,yes,quantitative,p,direct
h i t t o,h i t o n,yes,quantitative,t,direct
v a n d a a l i,v a n d a a l i n,no,_,_,_
s e l k k a u s,s e l k k a u k s e n,no,_,_,_
r u u k k u,r u u k u n,yes,quantitative,k,direct
t a a p e r o,t a a p e r o n,no,_,_,_
k a i n a l o,k a i n a l o n,no,_,_,_
r e k i s t e r ö i n t i,r e k i s t e r ö i n n i n,yes,qualitative,t,direct
v a l t u u t e t t u,v a l t u u t e t u n,yes,quantitative,t,direct
k a k l u u n i,k a k l u u n i n,no,_,_,_
p o i k k e a m a,p o i k k e a m a n,no,_,_,_
a h n e u s,a h n e u d e n,no,_,_,_
s a l d o,s a l d o n,no,_,_,_
v e h r e y s,v e h r e y d e n,no,_,_,_
p l a n e e t t a,p l a n e e t a n,yes,quantitative,t,direct
t u u b i,t u u b i n,no,_,_,_
i l m a i s u,i l m a i s u n,no,_,_,_
t a i s t o,t a i s t o n,no,_,_,_
h a r m i,h a r m i n,no,_,_,_
a s k a r t e l u,a s k a r t e l u n,no,_,_,_
k o n s e r t t o,k o n s e r t o n,yes,quantitative,t,direct
k a l j a,k a l j a n,no,_,_,_
j u l k i s u u s,j u l k i s u u d e n,no,_,_,_
o h i t t a m i n e n,o h i t t a m i s e n,no,_,_,_
a i s t i,a i s t i n,no,_,_,_
m i e h i t y s,m i e h i t y k s e n,no,_,_,_
k i e r t ä j ä,k i e r t ä j ä n,no,_,_,_
e l ä k e l ä i n e n,e l ä k e l ä i s e n,no,_,_,_
s a b o t a a s i,s a b o t a a s i n,no,_,_,_
h u p p a r i,h u p p a r i n,no,_,_,_
k a n n a t t a j a,k a n n a t t a j a n,no,_,_,_
p e l a s t a j a,p e l a s t a j a n,no,_,_,_
t a l l e t u s,t a l l e t u k s e n,no,_,_,_
t u r h a u t u m i n e n,t u r h a u t u m i s e n,no,_,_,_
n o s t u r i,n o s t u r i n,no,_,_,_
r y s s ä,r y s s ä n,no,_,_,_
t u r k k i,t u r k i n,yes,quantitative,k,direct
i n k a,i n k a n,no,_,_,_
k u p p i l a,k u p p i l a n,no,_,_,_
s h o p p a i l u,s h o p p a i l u n,no,_,_,_
s u o s i k k i,s u o s i k i n,yes,quantitative,k,direct
h a a v e,h a a v e e n,no,_,_,_
k a s t i k e,k a s t i k k e e n,yes,quantitative,k,inverse
p o r v a r i,p o r v a r i n,no,_,_,_
k u l u m i n e n,k u l u m i s e n,no,_,_,_
k ö n g ä s,k ö n k ä ä n,yes,qualitative,k,inverse
m u s i i k k i,m u s i i k i n,yes,quantitative,k,direct
k a s t a n j a,k a s t a n j a n,no,_,_,_
o b j e k t i,o b j e k t i n,no,_,_,_
t i l h i,t i l h e n,no,_,_,_
